genre,platform,platform_rank_in_genre,recommended_region,market_attractiveness_score,trend_score,publisher_opportunity_score,entrant_accessibility_score,platform_fit_score,regional_opportunity_score,recommended_region_skew_pct,launch_score,launch_decision,primary_risk
Action-Adventure,3DS,5,PAL,42.78,100.00,86.02,53.8461538461538462,36.62,47.37,0.85,59.60,CONDITIONAL,Weak platform fit
Shooter,PS4,3,PAL,43.89,98.26,78.09,17.2839506172839506,72.25,73.68,1.88,59.09,CONDITIONAL,High entry risk
Shooter,WII,5,PAL,43.89,98.26,78.09,17.2839506172839506,71.70,73.68,1.88,59.00,CONDITIONAL,High entry risk
Fighting,X360,2,JP,41.44,37.65,93.70,30.0000000000000000,95.54,84.21,3.47,58.81,CONDITIONAL,No single dominant red flag
Fighting,PS3,1,JP,41.44,37.65,93.70,30.0000000000000000,93.75,84.21,3.47,58.55,CONDITIONAL,No single dominant red flag
Role-Playing,PS4,5,JP,41.21,60.89,94.32,22.4299065420560748,72.25,94.74,12.66,58.38,CONDITIONAL,No single dominant red flag
Role-Playing,WII,3,JP,41.21,60.89,94.32,22.4299065420560748,71.70,94.74,12.66,58.30,CONDITIONAL,No single dominant red flag
Adventure,X360,3,JP,39.93,27.54,98.25,41.2371134020618557,95.54,68.42,1.79,58.27,CONDITIONAL,Weak/declining market trend
Puzzle,WII,2,JP,40.65,38.05,100.00,42.8571428571428571,71.70,78.95,2.28,58.09,CONDITIONAL,No single dominant red flag
Adventure,PS3,2,JP,39.93,27.54,98.25,41.2371134020618557,93.75,68.42,1.79,58.00,CONDITIONAL,Weak/declining market trend
Shooter,XONE,1,PAL,43.89,98.26,78.09,17.2839506172839506,55.56,73.68,1.88,56.58,CONDITIONAL,High entry risk
Sports,X360,3,OTHER,43.23,54.16,82.65,22.0930232558139535,95.54,63.16,1.76,56.39,CONDITIONAL,No single dominant red flag
Sports,PS3,2,OTHER,43.23,54.16,82.65,22.0930232558139535,93.75,63.16,1.76,56.13,CONDITIONAL,No single dominant red flag
Action-Adventure,WIIU,6,PAL,42.78,100.00,86.02,53.8461538461538462,13.32,47.37,0.85,56.10,CONDITIONAL,Weak platform fit
Role-Playing,XONE,8,JP,41.21,60.89,94.32,22.4299065420560748,55.56,94.74,12.66,55.88,CONDITIONAL,No single dominant red flag
Fighting,PS4,3,JP,41.44,37.65,93.70,30.0000000000000000,72.25,84.21,3.47,55.32,CONDITIONAL,No single dominant red flag
Fighting,WII,4,JP,41.44,37.65,93.70,30.0000000000000000,71.70,84.21,3.47,55.24,CONDITIONAL,No single dominant red flag
Adventure,PS4,5,JP,39.93,27.54,98.25,41.2371134020618557,72.25,68.42,1.79,54.78,AVOID,Weak/declining market trend
Racing,X360,2,PAL,42.28,25.01,91.88,32.4675324675324675,95.54,57.89,1.39,54.72,AVOID,Weak/declining market trend
Adventure,WII,1,JP,39.93,27.54,98.25,41.2371134020618557,71.70,68.42,1.79,54.70,AVOID,Weak/declining market trend
Action,X360,2,PAL,41.61,35.71,96.69,23.0263157894736842,95.54,52.63,0.89,54.46,AVOID,No single dominant red flag
Racing,PS3,1,PAL,42.28,25.01,91.88,32.4675324675324675,93.75,57.89,1.39,54.45,AVOID,Weak/declining market trend
Action,PS3,1,PAL,41.61,35.71,96.69,23.0263157894736842,93.75,52.63,0.89,54.19,AVOID,No single dominant red flag
Platform,X360,2,NA,42.16,45.87,90.53,30.5084745762711864,95.54,26.32,0.34,54.06,AVOID,No single dominant red flag
Platform,PS3,1,NA,42.16,45.87,90.53,30.5084745762711864,93.75,26.32,0.34,53.80,AVOID,No single dominant red flag
Strategy,PC,5,JP,40.24,41.26,97.96,47.5000000000000000,27.14,89.47,3.61,53.46,AVOID,Weak platform fit
Role-Playing,3DS,4,JP,41.21,60.89,94.32,22.4299065420560748,36.62,94.74,12.66,53.04,AVOID,Weak platform fit
Sports,PS4,1,OTHER,43.23,54.16,82.65,22.0930232558139535,72.25,63.16,1.76,52.90,AVOID,No single dominant red flag
Puzzle,3DS,1,JP,40.65,38.05,100.00,42.8571428571428571,36.62,78.95,2.28,52.83,AVOID,Weak platform fit
Sports,WII,5,OTHER,43.23,54.16,82.65,22.0930232558139535,71.70,63.16,1.76,52.82,AVOID,No single dominant red flag
Simulation,X360,2,JP,40.90,22.09,89.57,36.0294117647058824,95.54,42.11,0.72,52.72,AVOID,Weak/declining market trend
Simulation,PS3,3,JP,40.90,22.09,89.57,36.0294117647058824,93.75,42.11,0.72,52.45,AVOID,Weak/declining market trend
Shooter,PC,6,PAL,43.89,98.26,78.09,17.2839506172839506,27.14,73.68,1.88,52.32,AVOID,High entry risk
Adventure,XONE,6,JP,39.93,27.54,98.25,41.2371134020618557,55.56,68.42,1.79,52.27,AVOID,Weak/declining market trend
Role-Playing,PC,9,JP,41.21,60.89,94.32,22.4299065420560748,27.14,94.74,12.66,51.61,AVOID,Weak platform fit
Puzzle,PC,3,JP,40.65,38.05,100.00,42.8571428571428571,27.14,78.95,2.28,51.41,AVOID,Weak platform fit
Role-Playing,PSV,6,JP,41.21,60.89,94.32,22.4299065420560748,24.99,94.74,12.66,51.29,AVOID,Weak platform fit
Racing,PS4,3,PAL,42.28,25.01,91.88,32.4675324675324675,72.25,57.89,1.39,51.22,AVOID,Weak/declining market trend
Racing,WII,4,PAL,42.28,25.01,91.88,32.4675324675324675,71.70,57.89,1.39,51.14,AVOID,Weak/declining market trend
Action,PS4,5,PAL,41.61,35.71,96.69,23.0263157894736842,72.25,52.63,0.89,50.97,AVOID,No single dominant red flag
Action,WII,3,PAL,41.61,35.71,96.69,23.0263157894736842,71.70,52.63,0.89,50.89,AVOID,No single dominant red flag
Platform,PS4,6,NA,42.16,45.87,90.53,30.5084745762711864,72.25,26.32,0.34,50.57,AVOID,No single dominant red flag
Visual Novel,PSV,2,JP,39.77,46.88,95.11,59.1836734693877551,24.99,36.84,0.63,50.51,AVOID,Weak platform fit
Platform,WII,3,NA,42.16,45.87,90.53,30.5084745762711864,71.70,26.32,0.34,50.49,AVOID,No single dominant red flag
Sports,XONE,4,OTHER,43.23,54.16,82.65,22.0930232558139535,55.56,63.16,1.76,50.40,AVOID,No single dominant red flag
Adventure,3DS,4,JP,39.93,27.54,98.25,41.2371134020618557,36.62,68.42,1.79,49.43,AVOID,Weak platform fit
Simulation,PS4,5,JP,40.90,22.09,89.57,36.0294117647058824,72.25,42.11,0.72,49.23,AVOID,Weak/declining market trend
Simulation,WII,1,JP,40.90,22.09,89.57,36.0294117647058824,71.70,42.11,0.72,49.15,AVOID,Weak/declining market trend
Music,X360,1,JP,39.32,54.19,56.16,36.6666666666666667,95.54,10.53,0.07,49.10,AVOID,No single dominant red flag
Racing,XONE,5,PAL,42.28,25.01,91.88,32.4675324675324675,55.56,57.89,1.39,48.72,AVOID,Weak/declining market trend
Role-Playing,NS,7,JP,41.21,60.89,94.32,22.4299065420560748,6.60,94.74,12.66,48.53,AVOID,Weak platform fit
Action,XONE,4,PAL,41.61,35.71,96.69,23.0263157894736842,55.56,52.63,0.89,48.46,AVOID,No single dominant red flag
Platform,XONE,5,NA,42.16,45.87,90.53,30.5084745762711864,55.56,26.32,0.34,48.07,AVOID,No single dominant red flag
Adventure,PC,8,JP,39.93,27.54,98.25,41.2371134020618557,27.14,68.42,1.79,48.01,AVOID,Weak platform fit
Misc,X360,2,OTHER,40.86,0.00,97.40,27.6243093922651934,95.54,31.58,0.56,47.84,AVOID,Weak/declining market trend
Adventure,PSV,7,JP,39.93,27.54,98.25,41.2371134020618557,24.99,68.42,1.79,47.69,AVOID,Weak platform fit
Misc,PS3,3,OTHER,40.86,0.00,97.40,27.6243093922651934,93.75,31.58,0.56,47.57,AVOID,Weak/declining market trend
Sports,3DS,6,OTHER,43.23,54.16,82.65,22.0930232558139535,36.62,63.16,1.76,47.56,AVOID,Weak platform fit
Simulation,XONE,6,JP,40.90,22.09,89.57,36.0294117647058824,55.56,42.11,0.72,46.72,AVOID,Weak/declining market trend
Sports,PC,8,OTHER,43.23,54.16,82.65,22.0930232558139535,27.14,63.16,1.76,46.13,AVOID,Weak platform fit
Sports,PSV,7,OTHER,43.23,54.16,82.65,22.0930232558139535,24.99,63.16,1.76,45.81,AVOID,Weak platform fit
Action,3DS,6,PAL,41.61,35.71,96.69,23.0263157894736842,36.62,52.63,0.89,45.62,AVOID,Weak platform fit
Music,PS4,3,JP,39.32,54.19,56.16,36.6666666666666667,72.25,10.53,0.07,45.61,AVOID,No single dominant red flag
Music,WII,2,JP,39.32,54.19,56.16,36.6666666666666667,71.70,10.53,0.07,45.52,AVOID,No single dominant red flag
Platform,3DS,4,NA,42.16,45.87,90.53,30.5084745762711864,36.62,26.32,0.34,45.23,AVOID,Weak platform fit
Racing,PC,6,PAL,42.28,25.01,91.88,32.4675324675324675,27.14,57.89,1.39,44.46,AVOID,Weak platform fit
Misc,PS4,5,OTHER,40.86,0.00,97.40,27.6243093922651934,72.25,31.58,0.56,44.35,AVOID,Weak/declining market trend
Misc,WII,1,OTHER,40.86,0.00,97.40,27.6243093922651934,71.70,31.58,0.56,44.26,AVOID,Weak/declining market trend
Action,PC,10,PAL,41.61,35.71,96.69,23.0263157894736842,27.14,52.63,0.89,44.20,AVOID,Weak platform fit
Simulation,3DS,4,JP,40.90,22.09,89.57,36.0294117647058824,36.62,42.11,0.72,43.88,AVOID,Weak platform fit
Action,PSV,9,PAL,41.61,35.71,96.69,23.0263157894736842,24.99,52.63,0.89,43.88,AVOID,Weak platform fit
Simulation,PC,7,JP,40.90,22.09,89.57,36.0294117647058824,27.14,42.11,0.72,42.46,AVOID,Weak platform fit
Action,WIIU,7,PAL,41.61,35.71,96.69,23.0263157894736842,13.32,52.63,0.89,42.13,AVOID,Weak platform fit
Action,NS,8,PAL,41.61,35.71,96.69,23.0263157894736842,6.60,52.63,0.89,41.12,AVOID,Weak platform fit
Platform,NS,7,NA,42.16,45.87,90.53,30.5084745762711864,6.60,26.32,0.34,40.72,AVOID,Weak platform fit
Misc,3DS,4,OTHER,40.86,0.00,97.40,27.6243093922651934,36.62,31.58,0.56,39.00,AVOID,Weak platform fit
Misc,PC,8,OTHER,40.86,0.00,97.40,27.6243093922651934,27.14,31.58,0.56,37.58,AVOID,Weak platform fit
Misc,PSV,7,OTHER,40.86,0.00,97.40,27.6243093922651934,24.99,31.58,0.56,37.26,AVOID,Weak platform fit
Misc,NS,6,OTHER,40.86,0.00,97.40,27.6243093922651934,6.60,31.58,0.56,34.50,AVOID,Weak platform fit
