genre,platform,region,recommended_historical_month,market_opportunity_score,market_evidence_quality,demand_potential_score,momentum_score,competitive_accessibility_score,platform_fit_score,regional_score,timing_score,platform_fit_title_count,timing_title_count,timing_evidence_quality,scenario_evidence_quality,strategic_scenario_score
Role-Playing,PS4,Japan,11,48.22,HIGH,36.25,5.26,39.48,80.00,83.33,100.00,122,157,HIGH,HIGH,74.38
Sports,XONE,Other,8,75.45,HIGH,91.25,94.74,23.69,50.00,66.67,100.00,68,222,HIGH,HIGH,73.91
Misc,XONE,PAL,10,60.94,HIGH,33.75,36.84,57.90,100.00,33.33,100.00,16,339,HIGH,MEDIUM,73.33
Puzzle,PS4,PAL,1,58.24,HIGH,18.75,0.00,84.21,100.00,33.33,100.00,12,37,MEDIUM,MEDIUM,72.38
Fighting,XONE,North America,10,75.84,HIGH,71.25,47.37,73.69,50.00,83.33,89.09,16,118,HIGH,MEDIUM,71.91
Role-Playing,XONE,Japan,11,48.22,HIGH,36.25,5.26,39.48,70.00,83.33,100.00,35,157,HIGH,HIGH,71.88
Role-Playing,PS4,North America,11,48.22,HIGH,36.25,5.26,39.48,80.00,66.67,100.00,122,157,HIGH,HIGH,71.88
Sports,XONE,PAL,8,75.45,HIGH,91.25,94.74,23.69,50.00,50.00,100.00,68,222,HIGH,HIGH,71.41
Misc,PS4,North America,10,60.94,HIGH,33.75,36.84,57.90,50.00,83.33,100.00,32,339,HIGH,HIGH,71.33
Platform,XONE,Japan,1,66.91,HIGH,76.25,15.79,57.90,80.00,16.67,100.00,22,35,MEDIUM,HIGH,70.92
Platform,XONE,Other,1,66.91,HIGH,76.25,15.79,57.90,80.00,16.67,100.00,22,35,MEDIUM,HIGH,70.92
Misc,XONE,Japan,10,60.94,HIGH,33.75,36.84,57.90,100.00,16.67,100.00,16,339,HIGH,MEDIUM,70.83
Racing,XONE,PAL,11,59.93,HIGH,55.00,21.05,42.11,50.00,83.33,96.36,57,272,HIGH,HIGH,70.43
Racing,PS4,Japan,11,59.93,HIGH,55.00,21.05,42.11,100.00,0.00,96.36,60,272,HIGH,HIGH,70.43
Action-Adventure,XONE,Japan,2,75.64,HIGH,97.50,68.42,50.00,80.00,0.00,92.00,41,20,MEDIUM,HIGH,70.27
Action,XONE,North America,10,59.39,HIGH,70.00,10.53,55.26,50.00,83.33,94.55,102,422,HIGH,HIGH,69.97
Action,XONE,PAL,10,59.39,HIGH,70.00,10.53,55.26,50.00,83.33,94.55,102,422,HIGH,HIGH,69.97
Shooter,XONE,Japan,11,70.31,HIGH,92.50,63.16,36.85,80.00,0.00,100.00,64,285,HIGH,HIGH,69.61
Fighting,XONE,Japan,10,75.84,HIGH,71.25,47.37,73.69,50.00,66.67,89.09,16,118,HIGH,MEDIUM,69.41
Role-Playing,XONE,North America,11,48.22,HIGH,36.25,5.26,39.48,70.00,66.67,100.00,35,157,HIGH,HIGH,69.38
Misc,PS4,Other,10,60.94,HIGH,33.75,36.84,57.90,50.00,66.67,100.00,32,339,HIGH,HIGH,68.83
Adventure,PS4,Other,10,55.87,HIGH,8.75,26.32,78.95,100.00,0.00,94.55,76,257,HIGH,HIGH,68.74
Platform,PS4,Japan,1,66.91,HIGH,76.25,15.79,57.90,70.00,16.67,100.00,38,35,MEDIUM,HIGH,68.42
Platform,PS4,Other,1,66.91,HIGH,76.25,15.79,57.90,70.00,16.67,100.00,38,35,MEDIUM,HIGH,68.42
Racing,XONE,North America,11,59.93,HIGH,55.00,21.05,42.11,50.00,66.67,96.36,57,272,HIGH,HIGH,67.93
Action-Adventure,PS4,Japan,2,75.64,HIGH,97.50,68.42,50.00,70.00,0.00,92.00,59,20,MEDIUM,HIGH,67.77
Music,XONE,Other,10,58.57,HIGH,63.75,31.58,31.58,100.00,0.00,100.00,13,81,HIGH,MEDIUM,67.50
Action,PS4,Other,10,59.39,HIGH,70.00,10.53,55.26,70.00,33.33,94.55,179,422,HIGH,HIGH,67.47
Puzzle,PS4,Other,1,58.24,HIGH,18.75,0.00,84.21,100.00,0.00,100.00,12,37,MEDIUM,MEDIUM,67.38
Shooter,PS4,Japan,11,70.31,HIGH,92.50,63.16,36.85,70.00,0.00,100.00,82,285,HIGH,HIGH,67.11
Role-Playing,PS4,Other,11,48.22,HIGH,36.25,5.26,39.48,80.00,33.33,100.00,122,157,HIGH,HIGH,66.88
Strategy,PS4,Japan,11,45.82,HIGH,10.00,42.11,50.00,60.00,83.33,87.27,29,95,HIGH,HIGH,66.63
Adventure,XONE,North America,10,55.87,HIGH,8.75,26.32,78.95,50.00,66.67,94.55,34,257,HIGH,HIGH,66.24
Adventure,XONE,Japan,10,55.87,HIGH,8.75,26.32,78.95,50.00,66.67,94.55,34,257,HIGH,HIGH,66.24
Adventure,XONE,PAL,10,55.87,HIGH,8.75,26.32,78.95,50.00,66.67,94.55,34,257,HIGH,HIGH,66.24
Racing,XONE,Other,11,59.93,HIGH,55.00,21.05,42.11,50.00,50.00,96.36,57,272,HIGH,HIGH,65.43
Simulation,PS4,North America,10,44.64,HIGH,27.50,57.89,26.32,50.00,83.33,96.36,41,167,HIGH,HIGH,65.08
Fighting,XONE,PAL,10,75.84,HIGH,71.25,47.37,73.69,50.00,33.33,89.09,16,118,HIGH,MEDIUM,64.41
Role-Playing,XONE,Other,11,48.22,HIGH,36.25,5.26,39.48,70.00,33.33,100.00,35,157,HIGH,HIGH,64.38
Role-Playing,PS4,PAL,11,48.22,HIGH,36.25,5.26,39.48,80.00,16.67,100.00,122,157,HIGH,HIGH,64.38
Strategy,PS4,North America,11,45.82,HIGH,10.00,42.11,50.00,60.00,66.67,87.27,29,95,HIGH,HIGH,64.13
Sports,PC,North America,8,75.45,HIGH,91.25,94.74,23.69,0.00,83.33,100.00,103,222,HIGH,HIGH,63.91
Sports,XONE,Japan,8,75.45,HIGH,91.25,94.74,23.69,50.00,0.00,100.00,68,222,HIGH,HIGH,63.91
Misc,PS4,PAL,10,60.94,HIGH,33.75,36.84,57.90,50.00,33.33,100.00,32,339,HIGH,HIGH,63.83
Platform,PC,North America,1,66.91,HIGH,76.25,15.79,57.90,0.00,100.00,100.00,29,35,MEDIUM,HIGH,63.42
Simulation,PC,North America,10,44.64,HIGH,27.50,57.89,26.32,40.00,83.33,96.36,202,167,HIGH,HIGH,62.58
Simulation,PS4,Japan,10,44.64,HIGH,27.50,57.89,26.32,50.00,66.67,96.36,41,167,HIGH,HIGH,62.58
Action,PS4,Japan,10,59.39,HIGH,70.00,10.53,55.26,70.00,0.00,94.55,179,422,HIGH,HIGH,62.47
Action,XONE,Other,10,59.39,HIGH,70.00,10.53,55.26,50.00,33.33,94.55,102,422,HIGH,HIGH,62.47
Shooter,PC,PAL,11,70.31,HIGH,92.50,63.16,36.85,0.00,83.33,100.00,212,285,HIGH,HIGH,62.11
Fighting,XONE,Other,10,75.84,HIGH,71.25,47.37,73.69,50.00,16.67,89.09,16,118,HIGH,MEDIUM,61.91
Role-Playing,XONE,PAL,11,48.22,HIGH,36.25,5.26,39.48,70.00,16.67,100.00,35,157,HIGH,HIGH,61.88
Strategy,PS4,PAL,11,45.82,HIGH,10.00,42.11,50.00,60.00,50.00,87.27,29,95,HIGH,HIGH,61.63
Strategy,PC,Japan,11,45.82,HIGH,10.00,42.11,50.00,40.00,83.33,87.27,276,95,HIGH,HIGH,61.63
Sports,PC,Other,8,75.45,HIGH,91.25,94.74,23.69,0.00,66.67,100.00,103,222,HIGH,HIGH,61.41
Misc,PS4,Japan,10,60.94,HIGH,33.75,36.84,57.90,50.00,16.67,100.00,32,339,HIGH,HIGH,61.33
Strategy,XONE,Japan,11,45.82,HIGH,10.00,42.11,50.00,50.00,83.33,87.27,17,95,HIGH,MEDIUM,61.13
Simulation,PC,Japan,10,44.64,HIGH,27.50,57.89,26.32,40.00,66.67,96.36,202,167,HIGH,HIGH,60.08
Simulation,PS4,PAL,10,44.64,HIGH,27.50,57.89,26.32,50.00,50.00,96.36,41,167,HIGH,HIGH,60.08
Simulation,XONE,North America,10,44.64,HIGH,27.50,57.89,26.32,30.00,83.33,96.36,29,167,HIGH,HIGH,60.08
Action-Adventure,PC,PAL,2,75.64,HIGH,97.50,68.42,50.00,0.00,83.33,92.00,12,20,MEDIUM,MEDIUM,59.77
Shooter,PC,North America,11,70.31,HIGH,92.50,63.16,36.85,0.00,66.67,100.00,212,285,HIGH,HIGH,59.61
Fighting,PC,North America,10,75.84,HIGH,71.25,47.37,73.69,0.00,83.33,89.09,12,118,HIGH,MEDIUM,59.41
Strategy,PC,North America,11,45.82,HIGH,10.00,42.11,50.00,40.00,66.67,87.27,276,95,HIGH,HIGH,59.13
Sports,PC,PAL,8,75.45,HIGH,91.25,94.74,23.69,0.00,50.00,100.00,103,222,HIGH,HIGH,58.91
Misc,PC,North America,10,60.94,HIGH,33.75,36.84,57.90,0.00,83.33,100.00,55,339,HIGH,HIGH,58.83
Strategy,XONE,North America,11,45.82,HIGH,10.00,42.11,50.00,50.00,66.67,87.27,17,95,HIGH,MEDIUM,58.63
Platform,PC,PAL,1,66.91,HIGH,76.25,15.79,57.90,0.00,66.67,100.00,29,35,MEDIUM,HIGH,58.42
Racing,PC,PAL,11,59.93,HIGH,55.00,21.05,42.11,0.00,83.33,96.36,105,272,HIGH,HIGH,57.93
Racing,XONE,Japan,11,59.93,HIGH,55.00,21.05,42.11,50.00,0.00,96.36,57,272,HIGH,HIGH,57.93
Puzzle,PC,Japan,1,58.24,HIGH,18.75,0.00,84.21,0.00,83.33,100.00,73,37,MEDIUM,HIGH,57.88
Puzzle,PC,North America,1,58.24,HIGH,18.75,0.00,84.21,0.00,83.33,100.00,73,37,MEDIUM,HIGH,57.88
Simulation,PC,PAL,10,44.64,HIGH,27.50,57.89,26.32,40.00,50.00,96.36,202,167,HIGH,HIGH,57.58
Simulation,XONE,Japan,10,44.64,HIGH,27.50,57.89,26.32,30.00,66.67,96.36,29,167,HIGH,HIGH,57.58
Action,XONE,Japan,10,59.39,HIGH,70.00,10.53,55.26,50.00,0.00,94.55,102,422,HIGH,HIGH,57.47
Action,PC,PAL,10,59.39,HIGH,70.00,10.53,55.26,0.00,83.33,94.55,152,422,HIGH,HIGH,57.47
Action,PC,North America,10,59.39,HIGH,70.00,10.53,55.26,0.00,83.33,94.55,152,422,HIGH,HIGH,57.47
Action-Adventure,PC,North America,2,75.64,HIGH,97.50,68.42,50.00,0.00,66.67,92.00,12,20,MEDIUM,MEDIUM,57.27
Shooter,PC,Other,11,70.31,HIGH,92.50,63.16,36.85,0.00,50.00,100.00,212,285,HIGH,HIGH,57.11
Fighting,PC,Japan,10,75.84,HIGH,71.25,47.37,73.69,0.00,66.67,89.09,12,118,HIGH,MEDIUM,56.91
Strategy,PC,PAL,11,45.82,HIGH,10.00,42.11,50.00,40.00,50.00,87.27,276,95,HIGH,HIGH,56.63
Misc,PC,Other,10,60.94,HIGH,33.75,36.84,57.90,0.00,66.67,100.00,55,339,HIGH,HIGH,56.33
Adventure,XONE,Other,10,55.87,HIGH,8.75,26.32,78.95,50.00,0.00,94.55,34,257,HIGH,HIGH,56.24
Strategy,XONE,PAL,11,45.82,HIGH,10.00,42.11,50.00,50.00,50.00,87.27,17,95,HIGH,MEDIUM,56.13
Music,PS4,North America,10,58.57,HIGH,63.75,31.58,31.58,0.00,66.67,100.00,24,81,HIGH,HIGH,55.50
Music,PS4,Japan,10,58.57,HIGH,63.75,31.58,31.58,0.00,66.67,100.00,24,81,HIGH,HIGH,55.50
Music,PS4,PAL,10,58.57,HIGH,63.75,31.58,31.58,0.00,66.67,100.00,24,81,HIGH,HIGH,55.50
Racing,PC,North America,11,59.93,HIGH,55.00,21.05,42.11,0.00,66.67,96.36,105,272,HIGH,HIGH,55.43
Simulation,XONE,PAL,10,44.64,HIGH,27.50,57.89,26.32,30.00,50.00,96.36,29,167,HIGH,HIGH,55.08
Action-Adventure,PC,Other,2,75.64,HIGH,97.50,68.42,50.00,0.00,50.00,92.00,12,20,MEDIUM,MEDIUM,54.77
Role-Playing,PC,Japan,11,48.22,HIGH,36.25,5.26,39.48,0.00,83.33,100.00,122,157,HIGH,HIGH,54.38
Strategy,PS4,Other,11,45.82,HIGH,10.00,42.11,50.00,60.00,0.00,87.27,29,95,HIGH,HIGH,54.13
Adventure,PC,North America,10,55.87,HIGH,8.75,26.32,78.95,0.00,66.67,94.55,197,257,HIGH,HIGH,53.74
Adventure,PC,PAL,10,55.87,HIGH,8.75,26.32,78.95,0.00,66.67,94.55,197,257,HIGH,HIGH,53.74
Adventure,PC,Japan,10,55.87,HIGH,8.75,26.32,78.95,0.00,66.67,94.55,197,257,HIGH,HIGH,53.74
Racing,PC,Other,11,59.93,HIGH,55.00,21.05,42.11,0.00,50.00,96.36,105,272,HIGH,HIGH,52.93
Simulation,PS4,Other,10,44.64,HIGH,27.50,57.89,26.32,50.00,0.00,96.36,41,167,HIGH,HIGH,52.58
Fighting,PC,PAL,10,75.84,HIGH,71.25,47.37,73.69,0.00,33.33,89.09,12,118,HIGH,MEDIUM,51.91
Role-Playing,PC,North America,11,48.22,HIGH,36.25,5.26,39.48,0.00,66.67,100.00,122,157,HIGH,HIGH,51.88
Sports,PC,Japan,8,75.45,HIGH,91.25,94.74,23.69,0.00,0.00,100.00,103,222,HIGH,HIGH,51.41
Misc,PC,PAL,10,60.94,HIGH,33.75,36.84,57.90,0.00,33.33,100.00,55,339,HIGH,HIGH,51.33
Platform,PC,Japan,1,66.91,HIGH,76.25,15.79,57.90,0.00,16.67,100.00,29,35,MEDIUM,HIGH,50.92
Platform,PC,Other,1,66.91,HIGH,76.25,15.79,57.90,0.00,16.67,100.00,29,35,MEDIUM,HIGH,50.92
Puzzle,PC,PAL,1,58.24,HIGH,18.75,0.00,84.21,0.00,33.33,100.00,73,37,MEDIUM,HIGH,50.38
Simulation,PC,Other,10,44.64,HIGH,27.50,57.89,26.32,40.00,0.00,96.36,202,167,HIGH,HIGH,50.08
Action,PC,Other,10,59.39,HIGH,70.00,10.53,55.26,0.00,33.33,94.55,152,422,HIGH,HIGH,49.97
Shooter,PC,Japan,11,70.31,HIGH,92.50,63.16,36.85,0.00,0.00,100.00,212,285,HIGH,HIGH,49.61
Fighting,PC,Other,10,75.84,HIGH,71.25,47.37,73.69,0.00,16.67,89.09,12,118,HIGH,MEDIUM,49.41
Strategy,PC,Other,11,45.82,HIGH,10.00,42.11,50.00,40.00,0.00,87.27,276,95,HIGH,HIGH,49.13
Misc,PC,Japan,10,60.94,HIGH,33.75,36.84,57.90,0.00,16.67,100.00,55,339,HIGH,HIGH,48.83
Strategy,XONE,Other,11,45.82,HIGH,10.00,42.11,50.00,50.00,0.00,87.27,17,95,HIGH,MEDIUM,48.63
Visual Novel,PS4,Japan,5,40.66,HIGH,0.00,52.63,71.05,0.00,100.00,77.50,16,16,LOW,MEDIUM,47.86
Simulation,XONE,Other,10,44.64,HIGH,27.50,57.89,26.32,30.00,0.00,96.36,29,167,HIGH,HIGH,47.58
Action-Adventure,PC,Japan,2,75.64,HIGH,97.50,68.42,50.00,0.00,0.00,92.00,12,20,MEDIUM,MEDIUM,47.27
Role-Playing,PC,Other,11,48.22,HIGH,36.25,5.26,39.48,0.00,33.33,100.00,122,157,HIGH,HIGH,46.88
Music,PS4,Other,10,58.57,HIGH,63.75,31.58,31.58,0.00,0.00,100.00,24,81,HIGH,HIGH,45.50
Racing,PC,Japan,11,59.93,HIGH,55.00,21.05,42.11,0.00,0.00,96.36,105,272,HIGH,HIGH,45.43
Puzzle,PC,Other,1,58.24,HIGH,18.75,0.00,84.21,0.00,0.00,100.00,73,37,MEDIUM,HIGH,45.38
Action,PC,Japan,10,59.39,HIGH,70.00,10.53,55.26,0.00,0.00,94.55,152,422,HIGH,HIGH,44.97
Role-Playing,PC,PAL,11,48.22,HIGH,36.25,5.26,39.48,0.00,16.67,100.00,122,157,HIGH,HIGH,44.38
Adventure,PC,Other,10,55.87,HIGH,8.75,26.32,78.95,0.00,0.00,94.55,197,257,HIGH,HIGH,43.74
Visual Novel,PS4,North America,5,40.66,HIGH,0.00,52.63,71.05,0.00,50.00,77.50,16,16,LOW,MEDIUM,40.36
Visual Novel,PS4,Other,5,40.66,HIGH,0.00,52.63,71.05,0.00,50.00,77.50,16,16,LOW,MEDIUM,40.36
Visual Novel,PS4,PAL,5,40.66,HIGH,0.00,52.63,71.05,0.00,0.00,77.50,16,16,LOW,MEDIUM,32.86
