genre,platform,release_count,total_sales,avg_sales_per_release,median_sales_per_release,genre_share_of_platform_pct,rank_in_genre
Role-Playing,PS4,110,46.15,0.4195,0.0950,8.67,5
Role-Playing,PSV,97,10.54,0.1087,0.0600,24.15,6
Role-Playing,NS,28,3.06,0.1093,0.0500,17.37,7
Role-Playing,XONE,35,14.58,0.4166,0.0500,5.89,8
Role-Playing,PC,88,14.40,0.1636,0.0200,13.19,9
Shooter,XONE,64,90.25,1.4102,0.5750,36.48,1
Shooter,PS3,156,188.86,1.2106,0.5400,22.71,2
Shooter,PS4,82,144.70,1.7646,0.4800,27.18,3
Shooter,X360,200,230.36,1.1518,0.3250,27.12,4
Shooter,WII,64,22.16,0.3463,0.1100,4.87,5
Shooter,PC,141,30.46,0.2160,0.0400,27.90,6
Simulation,WII,89,31.76,0.3569,0.1900,6.97,1
Simulation,X360,39,10.92,0.2800,0.1500,1.29,2
Simulation,PS3,37,8.19,0.2214,0.1300,0.98,3
Simulation,3DS,53,11.73,0.2213,0.0900,13.59,4
Simulation,PS4,41,6.48,0.1580,0.0500,1.22,5
Simulation,XONE,29,3.50,0.1207,0.0500,1.41,6
Simulation,PC,143,26.30,0.1839,0.0200,24.09,7
Sports,PS4,82,108.84,1.3273,0.5100,20.44,1
Sports,PS3,230,154.38,0.6712,0.3000,18.57,2
Sports,X360,231,140.95,0.6102,0.2800,16.59,3
Sports,XONE,68,48.80,0.7176,0.2300,19.73,4
Sports,WII,271,93.28,0.3442,0.1800,20.48,5
Sports,3DS,31,7.09,0.2287,0.1300,8.21,6
Sports,PSV,30,5.08,0.1693,0.1100,11.64,7
Sports,PC,85,7.93,0.0933,0.0100,7.26,8
Strategy,X360,28,6.84,0.2443,0.1900,0.81,1
Strategy,PS3,24,4.88,0.2033,0.1100,0.59,2
Strategy,WII,22,4.13,0.1877,0.1000,0.91,3
Strategy,PS4,29,1.62,0.0559,0.0400,0.30,4
Strategy,PC,179,12.38,0.0692,0.0200,11.34,5
Visual Novel,PS3,22,0.91,0.0414,0.0350,0.11,1
Visual Novel,PSV,75,1.57,0.0209,0.0100,3.60,2
