platform,release_year,releases,first_observed_year,last_observed_year,lifecycle_position,lifecycle_stage
DS,2012,28,2004,2020,0.50000000000000000000,GROWTH
DS,2013,13,2004,2020,0.56250000000000000000,MATURE
DS,2014,5,2004,2020,0.62500000000000000000,MATURE
DS,2016,1,2004,2020,0.75000000000000000000,MATURE
DS,2020,5,2004,2020,1.00000000000000000000,LATE
GB,1991,4,1991,2002,0.00000000000000000000,EARLY
GB,1992,2,1991,2002,0.09090909090909090909,EARLY
GB,1993,3,1991,2002,0.18181818181818181818,EARLY
GB,1995,2,1991,2002,0.36363636363636363636,GROWTH
GB,1996,4,1991,2002,0.45454545454545454545,GROWTH
GB,1997,5,1991,2002,0.54545454545454545455,MATURE
GB,1998,2,1991,2002,0.63636363636363636364,MATURE
GB,1999,5,1991,2002,0.72727272727272727273,MATURE
GB,2000,10,1991,2002,0.81818181818181818182,LATE
GB,2001,8,1991,2002,0.90909090909090909091,LATE
GB,2002,1,1991,2002,1.00000000000000000000,LATE
GBA,2001,106,2001,2020,0.00000000000000000000,EARLY
GBA,2002,206,2001,2020,0.05263157894736842105,EARLY
GBA,2003,154,2001,2020,0.10526315789473684211,EARLY
GBA,2004,183,2001,2020,0.15789473684210526316,EARLY
GBA,2005,155,2001,2020,0.21052631578947368421,GROWTH
GBA,2006,73,2001,2020,0.26315789473684210526,GROWTH
GBA,2007,9,2001,2020,0.31578947368421052632,GROWTH
GBA,2020,1,2001,2020,1.00000000000000000000,LATE
GBC,2001,2,2001,2002,0.00000000000000000000,EARLY
GBC,2002,1,2001,2002,1.00000000000000000000,LATE
GC,2001,17,2001,2007,0.00000000000000000000,EARLY
GC,2002,140,2001,2007,0.16666666666666666667,EARLY
GC,2003,135,2001,2007,0.33333333333333333333,GROWTH
GC,2004,87,2001,2007,0.50000000000000000000,GROWTH
GC,2005,95,2001,2007,0.66666666666666666667,MATURE
GC,2006,48,2001,2007,0.83333333333333333333,LATE
GC,2007,4,2001,2007,1.00000000000000000000,LATE
GEN,1990,1,1990,1995,0.00000000000000000000,EARLY
GEN,1993,5,1990,1995,0.60000000000000000000,MATURE
GEN,1994,19,1990,1995,0.80000000000000000000,MATURE
GEN,1995,2,1990,1995,1.00000000000000000000,LATE
GG,1992,1,1992,1992,,LATE
MOB,2009,1,2009,2009,,LATE
N64,1996,9,1996,2002,0.00000000000000000000,EARLY
N64,1997,33,1996,2002,0.16666666666666666667,EARLY
N64,1998,69,1996,2002,0.33333333333333333333,GROWTH
N64,1999,91,1996,2002,0.50000000000000000000,GROWTH
N64,2000,61,1996,2002,0.66666666666666666667,MATURE
N64,2001,11,1996,2002,0.83333333333333333333,LATE
N64,2002,1,1996,2002,1.00000000000000000000,LATE
NES,1984,1,1984,1994,0.00000000000000000000,EARLY
NES,1985,3,1984,1994,0.10000000000000000000,EARLY
NES,1986,9,1984,1994,0.20000000000000000000,EARLY
NES,1987,4,1984,1994,0.30000000000000000000,GROWTH
NES,1988,6,1984,1994,0.40000000000000000000,GROWTH
NES,1989,5,1984,1994,0.50000000000000000000,GROWTH
NES,1990,5,1984,1994,0.60000000000000000000,MATURE
NES,1991,3,1984,1994,0.70000000000000000000,MATURE
NES,1992,5,1984,1994,0.80000000000000000000,MATURE
NES,1993,3,1984,1994,0.90000000000000000000,LATE
NES,1994,3,1984,1994,1.00000000000000000000,LATE
NG,1993,1,1993,1996,0.00000000000000000000,EARLY
NG,1994,4,1993,1996,0.33333333333333333333,GROWTH
NG,1995,4,1993,1996,0.66666666666666666667,MATURE
NG,1996,3,1993,1996,1.00000000000000000000,LATE
NS,2017,74,2017,2020,0.00000000000000000000,EARLY
NS,2018,176,2017,2020,0.33333333333333333333,GROWTH
NS,2019,10,2017,2020,0.66666666666666666667,MATURE
NS,2020,2,2017,2020,1.00000000000000000000,LATE
OSX,2009,1,2009,2009,,LATE
PC,1986,1,1986,2020,0.00000000000000000000,EARLY
PC,1993,6,1986,2020,0.20588235294117647059,GROWTH
PC,1994,4,1986,2020,0.23529411764705882353,GROWTH
PC,1995,5,1986,2020,0.26470588235294117647,GROWTH
PC,1996,4,1986,2020,0.29411764705882352941,GROWTH
PC,1997,6,1986,2020,0.32352941176470588235,GROWTH
PC,1998,7,1986,2020,0.35294117647058823529,GROWTH
PC,1999,21,1986,2020,0.38235294117647058824,GROWTH
PC,2000,30,1986,2020,0.41176470588235294118,GROWTH
PC,2001,36,1986,2020,0.44117647058823529412,GROWTH
PC,2002,55,1986,2020,0.47058823529411764706,GROWTH
PC,2003,73,1986,2020,0.50000000000000000000,GROWTH
PC,2004,68,1986,2020,0.52941176470588235294,MATURE
PC,2005,95,1986,2020,0.55882352941176470588,MATURE
PC,2006,115,1986,2020,0.58823529411764705882,MATURE
PC,2007,119,1986,2020,0.61764705882352941176,MATURE
PC,2008,136,1986,2020,0.64705882352941176471,MATURE
PC,2009,171,1986,2020,0.67647058823529411765,MATURE
PC,2010,114,1986,2020,0.70588235294117647059,MATURE
PC,2011,172,1986,2020,0.73529411764705882353,MATURE
PC,2012,54,1986,2020,0.76470588235294117647,MATURE
PC,2013,23,1986,2020,0.79411764705882352941,MATURE
PC,2014,52,1986,2020,0.82352941176470588235,LATE
PC,2015,66,1986,2020,0.85294117647058823529,LATE
PC,2016,51,1986,2020,0.88235294117647058824,LATE
PC,2017,41,1986,2020,0.91176470588235294118,LATE
PC,2018,21,1986,2020,0.94117647058823529412,LATE
PC,2019,1,1986,2020,0.97058823529411764706,LATE
PC,2020,2,1986,2020,1.00000000000000000000,LATE
PCE,1995,2,1995,1995,,LATE
PCFX,1996,1,1996,1996,,LATE
PS,1994,4,1994,2004,0.00000000000000000000,EARLY
PS,1995,61,1994,2004,0.10000000000000000000,EARLY
PS,1996,165,1994,2004,0.20000000000000000000,EARLY
PS,1997,150,1994,2004,0.30000000000000000000,GROWTH
PS,1998,188,1994,2004,0.40000000000000000000,GROWTH
PS,1999,198,1994,2004,0.50000000000000000000,GROWTH
PS,2000,212,1994,2004,0.60000000000000000000,MATURE
PS,2001,119,1994,2004,0.70000000000000000000,MATURE
PS,2002,21,1994,2004,0.80000000000000000000,MATURE
PS,2003,6,1994,2004,0.90000000000000000000,LATE
PS,2004,1,1994,2004,1.00000000000000000000,LATE
PS2,2000,63,2000,2020,0.00000000000000000000,EARLY
PS2,2001,163,2000,2020,0.05000000000000000000,EARLY
PS2,2002,269,2000,2020,0.10000000000000000000,EARLY
PS2,2003,254,2000,2020,0.15000000000000000000,EARLY
PS2,2004,240,2000,2020,0.20000000000000000000,EARLY
PS2,2005,248,2000,2020,0.25000000000000000000,GROWTH
PS2,2006,235,2000,2020,0.30000000000000000000,GROWTH
PS2,2007,224,2000,2020,0.35000000000000000000,GROWTH
PS2,2008,229,2000,2020,0.40000000000000000000,GROWTH
PS2,2009,142,2000,2020,0.45000000000000000000,GROWTH
PS2,2010,42,2000,2020,0.50000000000000000000,GROWTH
PS2,2011,7,2000,2020,0.55000000000000000000,MATURE
PS2,2016,1,2000,2020,0.80000000000000000000,MATURE
PS2,2020,1,2000,2020,1.00000000000000000000,LATE
PS3,2006,20,2006,2020,0.00000000000000000000,EARLY
PS3,2007,87,2006,2020,0.07142857142857142857,EARLY
PS3,2008,135,2006,2020,0.14285714285714285714,EARLY
PS3,2009,156,2006,2020,0.21428571428571428571,GROWTH
PS3,2010,175,2006,2020,0.28571428571428571429,GROWTH
PS3,2011,226,2006,2020,0.35714285714285714286,GROWTH
PS3,2012,157,2006,2020,0.42857142857142857143,GROWTH
PS3,2013,116,2006,2020,0.50000000000000000000,GROWTH
PS3,2014,126,2006,2020,0.57142857142857142857,MATURE
PS3,2015,83,2006,2020,0.64285714285714285714,MATURE
PS3,2016,45,2006,2020,0.71428571428571428571,MATURE
PS3,2017,9,2006,2020,0.78571428571428571429,MATURE
PS3,2018,1,2006,2020,0.85714285714285714286,LATE
PS3,2020,2,2006,2020,1.00000000000000000000,LATE
PS4,2013,14,2013,2020,0.00000000000000000000,EARLY
PS4,2014,65,2013,2020,0.14285714285714285714,EARLY
PS4,2015,116,2013,2020,0.28571428571428571429,GROWTH
PS4,2016,193,2013,2020,0.42857142857142857143,GROWTH
PS4,2017,251,2013,2020,0.57142857142857142857,MATURE
PS4,2018,243,2013,2020,0.71428571428571428571,MATURE
PS4,2019,20,2013,2020,0.85714285714285714286,LATE
PS4,2020,4,2013,2020,1.00000000000000000000,LATE
PSP,2004,3,2004,2020,0.00000000000000000000,EARLY
PSP,2005,82,2004,2020,0.06250000000000000000,EARLY
PSP,2006,197,2004,2020,0.12500000000000000000,EARLY
PSP,2007,156,2004,2020,0.18750000000000000000,EARLY
PSP,2008,127,2004,2020,0.25000000000000000000,GROWTH
PSP,2009,201,2004,2020,0.31250000000000000000,GROWTH
PSP,2010,198,2004,2020,0.37500000000000000000,GROWTH
PSP,2011,148,2004,2020,0.43750000000000000000,GROWTH
PSP,2012,118,2004,2020,0.50000000000000000000,GROWTH
PSP,2013,67,2004,2020,0.56250000000000000000,MATURE
PSP,2014,23,2004,2020,0.62500000000000000000,MATURE
PSP,2015,4,2004,2020,0.68750000000000000000,MATURE
PSP,2016,1,2004,2020,0.75000000000000000000,MATURE
PSP,2020,3,2004,2020,1.00000000000000000000,LATE
PSV,2011,6,2011,2020,0.00000000000000000000,EARLY
PSV,2012,68,2011,2020,0.11111111111111111111,EARLY
PSV,2013,44,2011,2020,0.22222222222222222222,GROWTH
PSV,2014,109,2011,2020,0.33333333333333333333,GROWTH
PSV,2015,136,2011,2020,0.44444444444444444444,GROWTH
PSV,2016,129,2011,2020,0.55555555555555555556,MATURE
PSV,2017,115,2011,2020,0.66666666666666666667,MATURE
PSV,2018,66,2011,2020,0.77777777777777777778,MATURE
PSV,2020,1,2011,2020,1.00000000000000000000,LATE
SAT,1994,1,1994,2020,0.00000000000000000000,EARLY
SAT,1995,46,1994,2020,0.03846153846153846154,EARLY
SAT,1996,56,1994,2020,0.07692307692307692308,EARLY
SAT,1997,38,1994,2020,0.11538461538461538462,EARLY
SAT,1998,32,1994,2020,0.15384615384615384615,EARLY
SAT,1999,1,1994,2020,0.19230769230769230769,EARLY
SAT,2020,1,1994,2020,1.00000000000000000000,LATE
SCD,1994,5,1994,1994,,LATE
SNES,1991,13,1991,1999,0.00000000000000000000,EARLY
SNES,1992,15,1991,1999,0.12500000000000000000,EARLY
SNES,1993,27,1991,1999,0.25000000000000000000,GROWTH
SNES,1994,56,1991,1999,0.37500000000000000000,GROWTH
SNES,1995,50,1991,1999,0.50000000000000000000,GROWTH
SNES,1996,28,1991,1999,0.62500000000000000000,MATURE
SNES,1997,5,1991,1999,0.75000000000000000000,MATURE
SNES,1998,2,1991,1999,0.87500000000000000000,LATE
SNES,1999,1,1991,1999,1.00000000000000000000,LATE
WII,2006,30,2006,2020,0.00000000000000000000,EARLY
WII,2007,170,2006,2020,0.07142857142857142857,EARLY
WII,2008,281,2006,2020,0.14285714285714285714,EARLY
WII,2009,352,2006,2020,0.21428571428571428571,GROWTH
WII,2010,269,2006,2020,0.28571428571428571429,GROWTH
WII,2011,165,2006,2020,0.35714285714285714286,GROWTH
WII,2012,42,2006,2020,0.42857142857142857143,GROWTH
WII,2013,15,2006,2020,0.50000000000000000000,GROWTH
WII,2014,7,2006,2020,0.57142857142857142857,MATURE
WII,2015,5,2006,2020,0.64285714285714285714,MATURE
WII,2016,1,2006,2020,0.71428571428571428571,MATURE
WII,2017,1,2006,2020,0.78571428571428571429,MATURE
WII,2018,2,2006,2020,0.85714285714285714286,LATE
WII,2020,3,2006,2020,1.00000000000000000000,LATE
WIIU,2012,29,2012,2020,0.00000000000000000000,EARLY
WIIU,2013,42,2012,2020,0.12500000000000000000,EARLY
WIIU,2014,27,2012,2020,0.25000000000000000000,GROWTH
WIIU,2015,27,2012,2020,0.37500000000000000000,GROWTH
WIIU,2016,17,2012,2020,0.50000000000000000000,GROWTH
WIIU,2017,4,2012,2020,0.62500000000000000000,MATURE
WIIU,2018,1,2012,2020,0.75000000000000000000,MATURE
WIIU,2020,1,2012,2020,1.00000000000000000000,LATE
WS,1999,2,1999,2002,0.00000000000000000000,EARLY
WS,2000,2,1999,2002,0.33333333333333333333,GROWTH
WS,2001,2,1999,2002,0.66666666666666666667,MATURE
WS,2002,1,1999,2002,1.00000000000000000000,LATE
WW,2009,1,2009,2011,0.00000000000000000000,EARLY
WW,2011,1,2009,2011,1.00000000000000000000,LATE
X360,2005,17,2005,2018,0.00000000000000000000,EARLY
X360,2006,76,2005,2018,0.07692307692307692308,EARLY
X360,2007,129,2005,2018,0.15384615384615384615,EARLY
X360,2008,152,2005,2018,0.23076923076923076923,GROWTH
X360,2009,174,2005,2018,0.30769230769230769231,GROWTH
X360,2010,188,2005,2018,0.38461538461538461538,GROWTH
X360,2011,224,2005,2018,0.46153846153846153846,GROWTH
X360,2012,117,2005,2018,0.53846153846153846154,MATURE
X360,2013,79,2005,2018,0.61538461538461538462,MATURE
X360,2014,73,2005,2018,0.69230769230769230769,MATURE
X360,2015,41,2005,2018,0.76923076923076923077,MATURE
X360,2016,16,2005,2018,0.84615384615384615385,LATE
X360,2017,6,2005,2018,0.92307692307692307692,LATE
X360,2018,2,2005,2018,1.00000000000000000000,LATE
XB,2001,32,2001,2008,0.00000000000000000000,EARLY
XB,2002,153,2001,2008,0.14285714285714285714,EARLY
XB,2003,198,2001,2008,0.28571428571428571429,GROWTH
XB,2004,173,2001,2008,0.42857142857142857143,GROWTH
XB,2005,196,2001,2008,0.57142857142857142857,MATURE
XB,2006,79,2001,2008,0.71428571428571428571,MATURE
XB,2007,3,2001,2008,0.85714285714285714286,LATE
XB,2008,2,2001,2008,1.00000000000000000000,LATE
XONE,2013,16,2013,2018,0.00000000000000000000,EARLY
XONE,2014,59,2013,2018,0.20000000000000000000,EARLY
XONE,2015,82,2013,2018,0.40000000000000000000,GROWTH
XONE,2016,98,2013,2018,0.60000000000000000000,MATURE
XONE,2017,137,2013,2018,0.80000000000000000000,MATURE
XONE,2018,132,2013,2018,1.00000000000000000000,LATE
