title,genres,description,url,price,discount,original_price,launch_date,is_error,reviews,general_reviews,tags
Marvel Rivals,Acción-Disparos en tercera persona,"¡Marvel Rivals es un juego de disparos de JcJ por equipos de superhéroes! Reúne un equipo de personajes de Marvel y combina sus poderes para idear infinitas estrategias y habilidades de agrupación, y lucha en campos de batalla destruibles y en constante cambio a lo largo del universo de Marvel.",https://store.steampowered.com/app/2767030/Marvel_Rivals,0€,,,6 DIC 2024,0,253.159 reseñas de usuarios,Muy positivas,Free to Play-Multijugador-Disparos de héroe-Disparos en tercera persona-Superhéroes
Kingdom Come: Deliverance II,Acción-Aventura-Buena trama-Rol-Rol de aventuras,Un emocionante RPG de acción con mucha narrativa y un exuberante mundo abierto situado en la Europa medieval del siglo XV. No te pierdas la aventura medieval definitiva donde vivirás un viaje de proporciones épicas de la mano del joven Henry.,https://store.steampowered.com/app/1771300/Kingdom_Come_Deliverance_II,"59,99€",,,4 FEB 2025,0,66.520 reseñas de usuarios,Muy positivas,Rol-Medievales-Mundo abierto-Un jugador-Realistas
Path of Exile 2,Acción-Aventura-Hack and slash-Rol-Rol de acción-Rol de aventuras,"Path of Exile 2 es un RPG de acción gratuito de nueva generación creado por Grinding Gear Games, con un modo cooperativo de hasta seis jugadores. Años después de los acontecimientos de Path of Exile, regresarás al oscuro mundo de Wraeclast para acabar con la corrupción que se está extendiendo.",https://store.steampowered.com/app/2694490/Path_of_Exile_2,"27,75€",,,6 DIC 2024,0,106.168 reseñas de usuarios,Muy positivas,Rol de acción-Hack and slash-Rol-Botín-Tipo «Dark Souls»
Atomic Heart,Acción-Disparos en primera persona-Puzles,"Ten encuentros explosivos en un delirante y sublime mundo utópico. Adapta tu estilo de combate a cada rival, aprovecha el entorno y mejora el equipamiento para cumplir la misión. El precio de averiguar la verdad tendrás que pagarlo con sangre.",https://store.steampowered.com/app/668580/Atomic_Heart,"19,80€",-67%,"59,99€",20 FEB 2023,0,27.972 reseñas de usuarios,Muy positivas,Contenido sexual-FPS-Terror-Puzles-Un jugador
Dead by Daylight,Acción,Dead by Daylight es un juego de horror de multijugador (4 contra 1) en el que un jugador representa el rol del asesino despiadado y los 4 restantes juegan como supervivientes que intentan escapar de él para evitar ser capturados y asesinados.,https://store.steampowered.com/app/381210/Dead_by_Daylight,"19,99€",,,14 JUN 2016,0,570.802 reseñas de usuarios,Mayormente positivas,Terror-Multijugador-Supervivencia / Terror-Cooperativos en línea-Cooperativos
Monster Hunter Wilds,Acción-Aventura-Citas-Rol-Rol de acción-Rol de aventuras,"Siente la fuerza desbocada, salvaje e imparable de la naturaleza en entornos que se transforman drásticamente de un momento a otro.
Esta es una historia de monstruos y humanos, y sus dificultades para coexistir en armonía en un mundo de dualidades.",https://store.steampowered.com/app/2246340/Monster_Hunter_Wilds,"69,99€",,,28 FEB 2025,0,115.981 reseñas de usuarios,Variadas,Caza-Acción-Multijugador-Cooperativos en línea-Cooperativos
Game of Thrones: Kingsroad,Acción-Buena trama-Rol-Rol de acción-Rol de aventuras,Sumérgete en este RPG de acción y aventura con un emocionante hilo narrativo donde el mundo de Poniente cobra vida con un nivel de detalle excepcional y a una escala nunca vista.,https://store.steampowered.com/app/3183280/Game_of_Thrones_Kingsroad,"24,99€",,,26 MAR 2025,0,406 reseñas de usuarios,Variadas,Cooperativos en línea-Multijugador-Elige tu propia aventura-Exploración-Rol de acción
Call of Duty®: Black Ops 6,Acción-Buena trama-Disparos en primera persona,"Call of Duty®: Black Ops 6 es el Black Ops auténtico, con una campaña cinemática individual, la mejor experiencia Multijugador de su clase y el épico regreso de Zombis por rondas.",https://store.steampowered.com/app/2933620/Call_of_Duty_Black_Ops_6,"55,99€",-30%,"79,99€",25 OCT 2024,0,11.160 reseñas de usuarios,Variadas,Acción-Multijugador-Disparos-FPS-Un jugador
Ambidextro,Acción-Plataforma y corredores,"Un juego multijugador para un solo jugador.

Aprende a controlar 2 personajes a la vez, uno con cada mano. Desarrolla tu ambidestreza y rescata al príncipe y a la princesa al mismo tiempo.",https://store.steampowered.com/app/3445580/Ambidextro,"7,99€",,,28 MAR 2025,0,453 reseñas de usuarios,Muy positivas,Plataformas de precisión-Acción-Plataformas 2D-Fantasía oscura-Pixelados
HELLDIVERS™ 2,Acción-Disparos en tercera persona,"La última línea de ataque de la galaxia. Alístate en los Helldivers y únete a la lucha por la libertad en una galaxia hostil en un juego de disparos en tercera persona rápido, frenético y feroz.",https://store.steampowered.com/app/553850/HELLDIVERS_2,"39,99€",,,8 FEB 2024,0,720.262 reseñas de usuarios,Mayormente positivas,Cooperativos en línea-JcE-Disparos en tercera persona-Multijugador-Acción
Once Human,Acción-Construcción y automatización-Simulación,"Once Human es un juego de supervivencia multijugador de mundo abierto ambientado en un extraño futuro postapocalíptico. Únete a tus amigos para enfrentarte a monstruosos enemigos, descubre conspiraciones secretas, compite por los recursos y construye tu propio territorio.",https://store.steampowered.com/app/2139460/Once_Human,0€,,,9 JUL 2024,0,123.952 reseñas de usuarios,Mayormente positivas,Multijugador-Free to Play-Supervivencia en mundo abierto-Supervivencia-Terror
Sea of Thieves: 2025 Edition,Acción-Aventura,"Sea of Thieves es un exitoso juego de aventuras piratas que ofrece la experiencia pirata por excelencia de saquear tesoros perdidos, batallas intensas, vencer monstruos marinos y más. Sumérgete en esta edición revisada del juego, que incluye acceso a medios digitales de bonificación.",https://store.steampowered.com/app/1172620/Sea_of_Thieves_2025_Edition,"39,99€",,,3 JUN 2020,0,303.771 reseñas de usuarios,Muy positivas,Multijugador-Mundo abierto-Aventura-Piratas-Cooperativos
Overwatch® 2,Acción-Disparos en primera persona,Overwatch® 2 es un shooter por equipos aclamado por la crítica ambientado en un futuro optimista con un plantel de héroes en evolución. Júntate con amigos y jugad hoy mismo.,https://store.steampowered.com/app/2357570/Overwatch_2,0€,,,10 AGO 2023,0,334.896 reseñas de usuarios,Mayormente negativas,Free to Play-Multijugador-Disparos de héroe-FPS-Basados en equipos
Tom Clancy's Rainbow Six® Siege,Acción-Disparos en primera persona-Militares,Tom Clancy's Rainbow Six® Siege es un shooter táctico realista por equipos donde una cuidadosa planificación y ejecución son claves para la victoria.,https://store.steampowered.com/app/359550/Tom_Clancys_Rainbow_Six_Siege,"19,99€",,,1 DIC 2015,0,1.174.769 reseñas de usuarios,Muy positivas,FPS-JcJ-e-sports-Multijugador-Tácticos
Black Desert,Acción-Aventura-Rol-Rol de aventuras-Rol estratégico,"Con más de 20 millones de aventureros, black Desert Online es un MMORPG de acción de mundo abierto. ¡Experimenta su intenso combate, enfréntante a Jefes mundiales, asedia castillos junto a tus amigos y mejora en diversas profesiones como pesca, comercio, manufactura, y cocina, entre otras!",https://store.steampowered.com/app/582660/Black_Desert,"9,99€",,,24 MAY 2017,0,58.448 reseñas de usuarios,Mayormente positivas,MMORPG-Multijugador masivo-Mundo abierto-Personalización de personajes-Rol
ELDEN RING,Acción-Rol-Rol de acción,"EL NUEVO JUEGO DE ROL Y ACCIÓN DE AMBIENTACIÓN FANTÁSTICA.
Álzate, Sinluz, y que la gracia te guíe para abrazar el poder del Círculo de Elden y encumbrarte como señor del Círculo en las Tierras Intermedias.",https://store.steampowered.com/app/1245620/ELDEN_RING,"59,99€",,,25 FEB 2022,0,753.494 reseñas de usuarios,Muy positivas,Tipo «Dark Souls»-Mundo abierto-Fantasía oscura-Rol-Difíciles
The Last of Us™ Parte II Remastered,Acción-Buena trama,"Disfruta en PC del ganador de más de 300 premios al Juego del Año. Descubre la historia de Ellie y Abby con mejoras gráficas, modos de juego como la experiencia de supervivencia roguelike ""Sin retorno"" y mucho más.",https://store.steampowered.com/app/2531310/The_Last_of_Us_Parte_II_Remastered,"49,99€",,,3 ABR 2025,0,,,Disparos en tercera persona-Posapocalípticos-Buena trama-LGBTQ+-Acción y aventura
Black Myth: Wukong,Acción-Aventura-Buena trama-Rol-Rol de acción-Rol de aventuras,"Black Myth: Wukong es un RPG de acción inspirado en la mitología china. Encarnarás al Predestinado, que ha de embarcarse en un viaje repleto de peligros y maravillas para descubrir la verdad oculta acerca de una gloriosa leyenda del pasado.",https://store.steampowered.com/app/2358720/Black_Myth_Wukong,"59,99€",,,20 AGO 2024,0,827.674 reseñas de usuarios,Extremadamente positivas,Mitología-Rol de acción-Acción-Tipo «Dark Souls»-Rol
Palworld,Acción-Aventura-Construcción y automatización-Rol-Rol de aventuras,"Este es un juego multijugador de supervivencia en mundo abierto inmenso y original, en el que tendrás que hacerte con unas misteriosas criaturas llamadas Pals, capaces de combatir, construir, cultivar y trabajar en fábricas.",https://store.steampowered.com/app/1623730/Palworld,"28,99€",,,19 ENE 2024,0,317.151 reseñas de usuarios,Muy positivas,Mundo abierto-Supervivencia-Coleccionista de criaturas-Multijugador
Mortal Kombat 1,Acción-Arcade y ritmo-Buena trama-Lucha y artes marciales,"Descubre un nuevo universo de Mortal Kombat™creado por Liu Kang, Dios del Fuego. ¡Mortal Kombat™ 1 abre paso a una nueva era de esta icónica saga con un nuevo sistema de kombate, modos de juego y fatalities!",https://store.steampowered.com/app/1971870/Mortal_Kombat_1,"16,49€",-67%,"49,99€",19 SEPT 2023,0,22.819 reseñas de usuarios,Mayormente positivas,Lucha-Acción-Sangriento-Multijugador-Sangre
Deep Rock Galactic,Acción-Disparos en primera persona,"Deep Rock Galactic es un FPS cooperativo para 1 a 4 jugadores. Juega con unos fornidos enanos espaciales en entornos 100 % destructibles, formados por cuevas generadas proceduralmente e interminables hordas de monstruos alienígenas.",https://store.steampowered.com/app/548430/Deep_Rock_Galactic,"9,89€",-67%,"29,99€",13 MAY 2020,0,269.367 reseñas de usuarios,Extremadamente positivas,Enanos-Cooperativos-JcE-FPS-Generación por procedimientos
FragPunk,Acción-Aventura-Disparos en primera persona,"FragPunk es un emocionante juego de disparos de héroes 5 contra 5, en el que las tarjetas de fragmento te permiten romper las reglas del combate y hacer que nunca haya dos rondas iguales. ¡Prepárate para dar rienda suelta a tus habilidades!",https://store.steampowered.com/app/2943650/FragPunk,0€,,,7 MAR 2025,0,30.569 reseñas de usuarios,Mayormente positivas,FPS-Free to Play-Disparos de héroe-Acción-Basados en equipos
Conan Exiles,Acción-Aventura-Construcción y automatización-Rol-Rol de aventuras,"Un juego multijugador de supervivencia online ambientado en las tierras de Conan el Bárbaro, ahora con hechicería. Sobrevive en este mundo abierto lleno de posibilidades, transforma tu hogar en un reino y somete a tus rivales en solitario o en multijugador.",https://store.steampowered.com/app/440900/Conan_Exiles,"3,99€",-90%,"39,99€",8 MAY 2018,0,71.423 reseñas de usuarios,Mayormente positivas,Supervivencia-Mundo abierto-Desnudos-Construcción-Supervivencia en mundo abierto
Atomfall,Acción-Aventura-Rol-Rol de acción,"Atomfall, un juego de acción y supervivencia inspirado en hechos reales, se desarrolla cinco años después del desastre nuclear de Windscale, en el norte de Inglaterra.",https://store.steampowered.com/app/801800/Atomfall,"49,99€",,,27 MAR 2025,0,966 reseñas de usuarios,Mayormente positivas,Acción-Aventura-Acción y aventura-Primera persona-Rol de acción
ARK: Survival Evolved,Acción-Aventura-Construcción y automatización,"Juega como un hombre o una mujer desnudo, congelándote y muriéndote de hambre en una isla misteriosa. Debes cazar, cosechar, crear objetos, cultivar, y construir refugios para sobrevivir. Usa tu habilidad y astucia para matar, domesticar, criar y cabalgar dinosaurios y otras criaturas primitivas.",https://store.steampowered.com/app/346110/ARK_Survival_Evolved,"14,79€",,,27 AGO 2017,0,543.355 reseñas de usuarios,Muy positivas,Supervivencia en mundo abierto-Supervivencia-Multijugador-Mundo abierto
Marvel's Spider-Man 2,Acción-Aventura-Buena trama,"Los grandes héroes se forjan juntos. El increíble poder del simbionte lleva a Peter Parker y Miles Morales a una lucha desesperada mientras intentan equilibrar sus vidas, sus amistades y su deber de proteger a los demás en un emocionante capítulo de la aclamada franquicia Spider-Man en PC.",https://store.steampowered.com/app/2651280/Marvels_SpiderMan_2,"59,99€",,,30 ENE 2025,0,12.071 reseñas de usuarios,Mayormente positivas,Acción-Superhéroes-Mundo abierto-Un jugador-Aventura
Arma Reforger,Acción-Disparos en primera persona-Disparos en tercera persona-Militares-Sandbox y de física-Simulación,Experimenta los auténticos combates de la Guerra Fría y únete a la pugna por la enorme isla de Everon y su vecina más pequeña de Arland en el Atlántico Central... o conviértete en director de partida y crea tus propios escenarios para hacer que los demás se lo pasen genial.,https://store.steampowered.com/app/1874880/Arma_Reforger,"35,98€",,,16 NOV 2023,0,23.986 reseñas de usuarios,Mayormente positivas,Militares-Simulación-Acción-Disparos-Realistas
Rain World: The Watcher,Acción-Aventura-Plataforma y corredores,"Rain World: The Watcher es un contenido descargable para Rain World. Viaja más allá, a un lugar que apenas vislumbras. Cuando el mundo se fracture y desmorone bajo tus pies, ¿te aferrarás a lo que sabías? ¿O te sumergirás en lo desconocido?",https://store.steampowered.com/app/2857120/Rain_World_The_Watcher,"13,31€",-10%,"14,79€",28 MAR 2025,0,1048 reseñas de usuarios,Variadas,Difíciles-Ambientales-Supervivencia-Indie-Plataformas
Delta Force,Acción-Disparos en primera persona,"¡Volvió Delta Force!

La icónica serie regresó como el moderno juego de disparos táctico por equipo definitivo y gratuito con tres modos de juego:
guerra JcJ a gran escala,
intensa acción de disparos con exfiltración
y una nueva versión de la campaña legendaria Black Hawk Down.",https://store.steampowered.com/app/2507950/Delta_Force,0€,,,5 DIC 2024,0,95.240 reseñas de usuarios,Variadas,Free to Play-FPS-Multijugador-Un jugador-Disparos y extracción
Wallpaper Engine,Acción,Pon increíbles fondos animados en tu escritorio. Anima tus propias imágenes para crear nuevos fondos o importa vídeos/páginas web y compártelos en Steam Workshop.,https://store.steampowered.com/app/431960/Wallpaper_Engine,"4,99€",,,16 NOV 2018,0,814.656 reseñas de usuarios,Extremadamente positivas,Para adultos-Utilidades-Anime-Software-Diseño e ilustración
ARK: Survival Ascended,Acción-Aventura-Construcción y automatización,"¡Ark se reinventa desde cero en esta próxima generación de tecnología de videojuegos con Unreal Engine 5! Forma una tribu, domestica y cría cientos de dinosaurios únicos y criaturas primitivas, exploran, cree, construyen y luchan hasta la cima de la cadena alimentaria. ¡Tu nuevo mundo te espera!",https://store.steampowered.com/app/2399830/ARK_Survival_Ascended,"44,99€",,,26 OCT 2023,0,66.387 reseñas de usuarios,Variadas,Supervivencia-Mundo abierto-Multijugador-Dinosaurios-Construcción
Apex Legends™,Acción-Disparos en primera persona,Apex Legends es el galardonado juego gratuito de acción en primera persona de Respawn Entertainment. Domina un elenco creciente de leyendas con potentes habilidades. Juego estratégico basado en pelotones y jugabilidad innovadora en la nueva evolución del Battle Royale y la acción en primera persona.,https://store.steampowered.com/app/1172470/Apex_Legends,0€,,,5 NOV 2020,0,985.428 reseñas de usuarios,Variadas,Free to Play-Battle Royale-Multijugador-FPS-Disparos
Tainted Grail: The Fall of Avalon,Acción-De vida e inmersivo-Rol-Rol de acción,"Adéntrate en una oscura reinterpretación de las leyendas artúricas en este RPG en primera persona y mundo abierto. Explora un mundo atrapado en un otoño eterno, presencia la caída de las leyendas y toma decisiones significativas entretejidas en una historia compleja y ramificada.",https://store.steampowered.com/app/1466060/Tainted_Grail_The_Fall_of_Avalon,"43,99€",,,30 MAR 2023,0,3503 reseñas de usuarios,Muy positivas,Mundo abierto-Rol-Fantasía oscura-Exploración-Primera persona
ELDEN RING Shadow of the Erdtree,Acción-Aventura-Buena trama-Rol-Rol de acción-Rol de aventuras,"Shadow of the Erdtree es una expansión de ELDEN RING, el Juego del Año de 2022. En un entorno oscuro e intenso, Shadow of the Erdtree invita a los jugadores a seguir su viaje con la libertad de explorar y disfrutar de la aventura a su propio ritmo.",https://store.steampowered.com/app/2778580/ELDEN_RING_Shadow_of_the_Erdtree,"39,99€",,,21 JUN 2024,0,80.283 reseñas de usuarios,Mayormente positivas,Acción-Rol-Tipo «Dark Souls»-Difíciles-Fantasía
Red Dead Redemption,Acción-Aventura-Buena trama-Disparos en tercera persona,Vive la historia del exforajido John Marston mientras busca a los últimos miembros vivos de la famosa banda de Van der Linde en el debut para PC del aclamado predecesor de Red Dead Redemption 2.,https://store.steampowered.com/app/2668510/Red_Dead_Redemption,"39,99€",-20%,"49,99€",29 OCT 2024,0,8575 reseñas de usuarios,Muy positivas,Mundo abierto-Vaqueros-Buena trama-Un jugador-Acción
Atelier Yumia: La alquimista de los recuerdos y la tierra imaginada,Acción-Aventura-Buena trama-En grupo-Hack and slash-Rol-Rol de acción-Rol de aventuras-Rol japonés,"Atelier Yumia es una historia en la que Yumia y sus amigos hacen frente a sus recuerdos y avanzan por el camino en el que creen. Explora un amplio mundo, recoge ingredientes para la síntesis de objetos y construye tus propias bases sobre el terreno.",https://store.steampowered.com/app/3123410/Atelier_Yumia_La_alquimista_de_los_recuerdos_y_la_tierra_imaginada,"69,99€",,,21 MAR 2025,0,1265 reseñas de usuarios,Variadas,Exploración-Recolectatlón-Protagonista femenina-Rol japonés
Tomba! Special Edition,Acción-Aventura-Metroidvania-Plataforma y corredores,"In Tomba! Special Edition, leap, bite, and throw your way across stunning 2.5D landscapes in this vastly-enhanced update to a platforming classic!",https://store.steampowered.com/app/2851150/Tomba_Special_Edition,"9,75€",-50%,"19,50€",1 AGO 2024,0,426 reseñas de usuarios,Muy positivas,Acción-Plataformas-Plataformas 2D-2.5D-Vieja escuela
Terraria,Acción-Aventura-Construcción y automatización,"¡Cava, lucha, explora, construye! Con este juego de aventuras repleto de acción nada es imposible. ¡Pack de Cuatro también disponible!",https://store.steampowered.com/app/105600/Terraria,"9,75€",,,16 MAY 2011,0,1.106.768 reseñas de usuarios,Extremadamente positivas,Supervivencia en mundo abierto-Sandbox-Supervivencia-2D-Multijugador
BLEACH Rebirth of Souls,Acción-Buena trama-Lucha y artes marciales,¡Despierta la espada en tu interior y cambia tu destino en BLEACH Rebirth of Souls! Participa en batallas emocionantes con habilidades de espada poderosas y personajes de esta legendaria franquicia de anime.,https://store.steampowered.com/app/1689620/BLEACH_Rebirth_of_Souls,"59,99€",,,20 MAR 2025,0,3177 reseñas de usuarios,Variadas,Acción-Anime-Luchador en 3D-3D-Espadas
Dying Light 2 Stay Human: Reloaded Edition,Acción-Rol-Rol de acción,"La humanidad libra una batalla perdida contra el virus. Descubre un mundo abierto posapocalíptico gobernado por hordas de zombis y usa el parkour y tus habilidades de combate para sobrevivir. Recorre la ciudad libremente durante el día, pero ten cuidado con los infectados que deambulan de noche.",https://store.steampowered.com/app/534380/Dying_Light_2_Stay_Human_Reloaded_Edition,"23,09€",-67%,"69,99€",4 FEB 2022,0,143.178 reseñas de usuarios,Mayormente positivas,Mundo abierto-Cooperativos-Zombis-Parkour-Multijugador
Red Dead Redemption 2,Acción-Aventura-Buena trama-Disparos en tercera persona,"Con más de 175 premios al Juego del año y más de 250 valoraciones perfectas, Red Dead Redemption 2 es la épica historia de Arthur Morgan y la banda de Van der Linde, que huyen por toda América en el albor de una nueva era. También incluye acceso al mundo multijugador compartido de Red Dead Online.",https://store.steampowered.com/app/1174180/Red_Dead_Redemption_2,"59,99€",,,5 DIC 2019,0,647.883 reseñas de usuarios,Muy positivas,Mundo abierto-Buena trama-Vaqueros-Aventura-Multijugador
Call of Duty®: Warzone™,Acción-Disparos en primera persona,"Te damos la bienvenida a Call of Duty®: Warzone™, la zona de combate masivo gratuita. Disfruta con modos emocionantes y nuevas características de jugabilidad en Area 99, Urzikistan y Rebirth Island.",https://store.steampowered.com/app/1962663/Call_of_Duty_Warzone,0€,,,16 NOV 2022,0,42.578 reseñas de usuarios,Mayormente negativas,Free to Play-FPS-Multijugador-Battle Royale-Acción
Thymesia,Acción-Hack and slash-Rol-Rol de acción,"Thymesia es un arduo RPG de acción con un combate rápido y un complejo sistema de plagas como armas.
En un reino donde la muerte campa a sus anchas, jugarás con el misterioso personaje «Corvus». Da caza a tus enemigos, blande el poder de la enfermedad y encuentra la verdad en tus propios recuerdos.",https://store.steampowered.com/app/1343240/Thymesia,"9,99€",-60%,"24,99€",18 AGO 2022,0,6872 reseñas de usuarios,Muy positivas,Tipo «Dark Souls»-Difíciles-Un jugador-Fantasía oscura-Hack and slash
Destiny 2,Acción-Disparos en primera persona-Rol,Destiny 2 es un MMO de acción con un mundo único y dinámico al que tus amigos y tú os podéis unir en cualquier momento y desde cualquier lugar de forma totalmente gratuita.,https://store.steampowered.com/app/1085660/Destiny_2,0€,,,1 OCT 2019,0,622.220 reseñas de usuarios,Mayormente positivas,Free to Play-Mundo abierto-Multijugador-Disparos y botín-MMORPG
Hero Siege,Acción-Aventura-Hack and slash-Roguelike-Rol-Rol de acción-Rol de aventuras,"Hero Siege brings you the loot with a legion of playable character classes, procedually generated world, over 1000 unique items, endless replayability and a wide variety of dungeons and dangerous zones to explore!",https://store.steampowered.com/app/269210/Hero_Siege,"2,64€",-66%,"7,79€",29 ENE 2014,0,32.690 reseñas de usuarios,Variadas,Rol de acción-Pixelados-Hack and slash-Roguelike de acción-Rol
The Elder Scrolls® Online,Acción-Aventura-Buena trama-Rol-Rol de aventuras,Únete a más de 22 millones de jugadores en el galardonado RPG multijugador online y vive una aventura sin límites en The Elder Scrolls,https://store.steampowered.com/app/306130/The_Elder_Scrolls_Online,"19,99€",,,22 MAY 2017,0,126.082 reseñas de usuarios,Muy positivas,Rol-MMORPG-Mundo abierto-Fantasía-Aventura
NARAKA: BLADEPOINT,Acción-Hack and slash-Lucha y artes marciales,"NARAKA: BLADEPOINT es una experiencia de combate y acción para hasta 60 jugadores con enfrentamientos cuerpo a cuerpo basados en las artes marciales, movimientos que desafían la gravedad, héroes personalizables dotados de habilidades épicas y un gran arsenal de armas de corta y larga distancia.",https://store.steampowered.com/app/1203220/NARAKA_BLADEPOINT,0€,,,12 AGO 2021,0,277.598 reseñas de usuarios,Mayormente positivas,Battle Royale-Multijugador-Artes marciales-JcJ-Para adultos
